Employee_Number,Age,CF_age_band,Gender,Marital_Status,Department,Job_Role,Job_Level,Education,Education_Field,Total_Working_Years,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager,Monthly_Income,Percent_Salary_Hike,Stock_Option_Level,Job_Satisfaction,Environment_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Job_Involvement,Performance_Rating,Over_Time,Business_Travel,Distance_From_Home,Training_Times_Last_Year,Num_Companies_Worked,Attrition,CF_attrition_label,CF_current_Employee,Hourly_Rate,Daily_Rate,Monthly_Rate,Employee_Count,Standard_Hours,Over18
STAFF-355,44,35 - 44,Male,Single,Finance,Finance Manager,3,Bachelor's Degree,Technical Degree,30,0,0,0,0,9810,24,0,3,1,3,3,1,3,No,Non-Travel,2,6,3,No,Current Employees,1,36,240,7788,1,80,Y
STAFF-356,43,35 - 44,Female,Divorced,Marketing,Marketing Manager,1,Associates Degree,Human Resources,19,10,0,0,1,7603,12,0,4,1,1,1,1,3,Yes,Travel_Frequently,13,1,3,Yes,Ex-Employees,0,75,934,19605,1,80,Y
STAFF-357,30,25 - 34,Male,Divorced,Sales,Sales Executive,1,Bachelor's Degree,Life Sciences,11,11,2,2,2,5203,5,0,4,3,1,4,4,2,No,Travel_Rarely,3,5,1,No,Current Employees,1,32,719,14248,1,80,Y
STAFF-358,34,25 - 34,Female,Married,R&D,Manufacturing Director,2,Bachelor's Degree,Technical Degree,28,10,4,0,0,10755,12,1,2,2,2,2,3,3,No,Travel_Frequently,1,2,3,No,Current Employees,1,49,1037,7616,1,80,Y
STAFF-359,45,45 - 54,Male,Single,Sales,Manager,1,Bachelor's Degree,Life Sciences,24,0,0,0,0,5703,20,0,4,1,4,1,4,3,No,Travel_Rarely,9,6,2,No,Current Employees,1,57,946,15694,1,80,Y
STAFF-360,41,35 - 44,Female,Divorced,HR,HR Specialist,2,Bachelor's Degree,Technical Degree,20,1,1,1,0,8539,20,0,1,4,2,4,3,3,No,Non-Travel,25,3,1,Yes,Ex-Employees,0,48,652,5000,1,80,Y
STAFF-361,21,Under 25,Female,Divorced,Marketing,Content Creator,2,Associates Degree,Technical Degree,6,2,0,0,0,8759,13,2,1,1,1,4,4,3,No,Travel_Rarely,21,1,4,Yes,Ex-Employees,0,83,919,10679,1,80,Y
STAFF-362,29,25 - 34,Female,Single,Finance,Finance Manager,4,Associates Degree,Human Resources,5,0,0,0,0,16034,21,1,2,1,1,2,4,3,Yes,Non-Travel,1,1,1,Yes,Ex-Employees,0,76,452,16868,1,80,Y
STAFF-363,40,35 - 44,Female,Married,IT,IT Support,2,Bachelor's Degree,Other,15,1,0,0,1,8723,13,0,4,2,3,2,4,3,No,Travel_Frequently,26,5,2,Yes,Ex-Employees,0,63,965,19056,1,80,Y
STAFF-364,43,35 - 44,Female,Married,HR,HR Manager,1,Bachelor's Degree,Medical,18,0,0,0,0,7514,14,1,3,2,3,3,1,3,No,Travel_Frequently,5,3,2,Yes,Ex-Employees,0,62,1101,9710,1,80,Y
STAFF-365,37,35 - 44,Female,Married,Sales,Sales Representative,2,Bachelor's Degree,Life Sciences,12,7,0,0,0,9671,16,1,4,4,3,4,4,3,Yes,Travel_Rarely,24,5,1,No,Current Employees,1,59,845,15788,1,80,Y
STAFF-366,36,35 - 44,Female,Married,Finance,Finance Manager,3,Associates Degree,Technical Degree,10,0,0,0,0,13654,21,1,2,3,1,4,2,4,Yes,Travel_Rarely,2,1,1,No,Current Employees,1,42,1019,20036,1,80,Y
STAFF-367,35,35 - 44,Female,Married,HR,HR Specialist,1,Bachelor's Degree,Other,15,2,2,1,0,7531,12,1,1,3,1,4,4,3,No,Non-Travel,5,2,1,No,Current Employees,1,62,1124,14788,1,80,Y
STAFF-368,32,25 - 34,Female,Divorced,Sales,Sales Representative,3,Associates Degree,Other,5,4,0,0,1,9728,10,2,1,1,1,1,2,3,No,Non-Travel,63,4,3,Yes,Ex-Employees,0,30,780,5034,1,80,Y
STAFF-369,33,25 - 34,Female,Married,HR,HR Manager,4,High School,Medical,16,0,0,0,0,15202,10,1,1,1,2,1,3,3,No,Non-Travel,1,5,2,Yes,Ex-Employees,0,47,367,17400,1,80,Y
STAFF-370,48,45 - 54,Male,Single,IT,IT Support,2,High School,Marketing,23,5,2,1,4,8518,8,0,2,4,2,3,3,3,No,Non-Travel,9,3,1,No,Current Employees,1,66,962,5072,1,80,Y
STAFF-371,48,45 - 54,Female,Married,Finance,Accountant,1,Bachelor's Degree,Technical Degree,32,2,1,0,0,6911,24,0,2,1,3,4,4,3,No,Non-Travel,1,3,2,No,Current Employees,1,55,956,17866,1,80,Y
STAFF-372,23,Under 25,Female,Married,Sales,Sales Representative,3,Master's Degree,Human Resources,0,0,0,0,0,7819,21,1,4,4,3,4,1,3,No,Travel_Rarely,2,1,2,No,Current Employees,1,57,571,27929,1,80,Y
STAFF-373,39,35 - 44,Female,Married,Finance,Accountant,1,Associates Degree,Technical Degree,12,3,3,0,0,6080,19,0,2,2,3,4,2,3,No,Non-Travel,1,6,1,No,Current Employees,1,59,1157,20109,1,80,Y
STAFF-374,37,35 - 44,Male,Divorced,IT,IT Support,1,PhD,Technical Degree,18,1,1,0,1,6783,14,0,1,2,1,3,4,4,No,Travel_Frequently,23,2,2,No,Current Employees,1,59,1115,17525,1,80,Y
STAFF-375,52,45 - 54,Female,Married,Finance,Accountant,1,Associates Degree,Human Resources,31,1,0,0,0,9760,19,0,2,2,3,1,1,3,No,Non-Travel,8,1,4,No,Current Employees,1,97,543,7150,1,80,Y
STAFF-376,39,35 - 44,Female,Divorced,Marketing,Marketing Manager,1,Bachelor's Degree,Life Sciences,18,0,0,0,0,8484,15,0,3,3,1,4,2,3,No,Travel_Rarely,2,1,1,No,Current Employees,1,75,860,17651,1,80,Y
STAFF-377,33,25 - 34,Male,Divorced,Sales,Manager,1,Bachelor's Degree,Medical,0,0,0,0,0,9388,12,0,2,1,4,2,1,3,No,Non-Travel,20,2,1,No,Current Employees,1,36,288,16857,1,80,Y
STAFF-378,26,25 - 34,Female,Divorced,Sales,Manager,4,High School,Human Resources,0,0,0,0,0,14406,10,2,3,1,3,2,3,3,Yes,Non-Travel,2,0,1,Yes,Ex-Employees,0,52,680,9651,1,80,Y
STAFF-379,19,Under 25,Male,Divorced,R&D,Research Scientist,4,PhD,Marketing,0,0,0,0,0,12461,4,0,3,4,4,2,3,3,No,Travel_Rarely,36,3,3,Yes,Ex-Employees,0,30,1285,8869,1,80,Y
STAFF-380,32,25 - 34,Female,Single,Finance,Financial Analyst,2,Associates Degree,Medical,18,1,1,0,0,8484,20,1,2,2,2,1,2,3,No,Non-Travel,3,5,7,Yes,Ex-Employees,0,44,904,18080,1,80,Y
STAFF-381,40,35 - 44,Female,Divorced,Finance,Finance Manager,1,Bachelor's Degree,Life Sciences,12,5,0,0,0,5248,19,1,3,2,4,3,2,2,No,Non-Travel,6,4,5,Yes,Ex-Employees,0,105,1205,7889,1,80,Y
STAFF-382,26,25 - 34,Female,Married,IT,Software Engineer,3,Bachelor's Degree,Other,12,12,0,0,0,9377,16,2,4,4,1,4,2,3,Yes,Non-Travel,14,1,3,Yes,Ex-Employees,0,64,745,12316,1,80,Y
STAFF-383,31,25 - 34,Female,Divorced,Finance,Accountant,1,Associates Degree,Medical,11,3,0,0,0,5831,24,0,3,3,1,1,1,3,No,Travel_Rarely,19,5,2,Yes,Ex-Employees,0,41,941,30748,1,80,Y
STAFF-384,46,45 - 54,Male,Married,HR,HR Specialist,1,High School,Marketing,15,0,0,0,0,6783,22,2,1,3,2,2,3,4,No,Travel_Rarely,10,6,1,Yes,Ex-Employees,0,68,1190,8949,1,80,Y
STAFF-385,27,25 - 34,Male,Married,Finance,Finance Manager,1,Master's Degree,Medical,1,1,1,1,1,5215,18,0,3,1,1,3,2,2,Yes,Non-Travel,11,1,2,Yes,Ex-Employees,0,100,647,6424,1,80,Y
STAFF-386,43,35 - 44,Male,Married,IT,IT Support,2,Master's Degree,Medical,18,1,1,0,1,10288,21,1,2,4,1,2,3,4,No,Travel_Frequently,5,6,2,Yes,Ex-Employees,0,74,754,22076,1,80,Y
STAFF-387,53,45 - 54,Female,Married,IT,Software Engineer,2,Master's Degree,Technical Degree,26,4,0,0,0,8666,17,0,4,2,2,4,4,4,Yes,Travel_Rarely,10,1,1,Yes,Ex-Employees,0,59,709,13501,1,80,Y
STAFF-388,45,45 - 54,Female,Married,R&D,Healthcare Representative,1,Master's Degree,Human Resources,26,4,0,0,4,9141,17,0,2,4,3,3,4,3,No,Non-Travel,10,0,1,No,Current Employees,1,63,1047,13873,1,80,Y
STAFF-389,51,45 - 54,Female,Divorced,Finance,Accountant,1,Bachelor's Degree,Life Sciences,27,4,1,1,0,6971,15,3,3,1,4,2,1,3,No,Travel_Rarely,12,6,1,No,Current Employees,1,88,718,8612,1,80,Y
STAFF-390,38,35 - 44,Male,Single,Marketing,Marketing Manager,2,Bachelor's Degree,Other,3,0,0,0,0,9702,13,1,3,3,2,4,1,4,No,Travel_Rarely,2,3,1,No,Current Employees,1,30,624,13490,1,80,Y
STAFF-391,37,35 - 44,Female,Single,R&D,Research Scientist,2,PhD,Technical Degree,19,1,0,0,0,10263,25,0,3,1,3,1,4,3,No,Non-Travel,14,6,1,Yes,Ex-Employees,0,61,765,7588,1,80,Y
STAFF-392,46,45 - 54,Female,Divorced,Sales,Manager,2,Bachelor's Degree,Technical Degree,18,5,0,0,5,7655,17,0,1,1,3,4,4,3,No,Travel_Frequently,7,5,2,Yes,Ex-Employees,0,79,791,11600,1,80,Y
STAFF-393,18,Under 25,Female,Married,HR,HR Specialist,2,Master's Degree,Marketing,0,0,0,0,0,9244,4,0,3,2,2,4,3,3,Yes,Travel_Frequently,5,6,1,Yes,Ex-Employees,0,45,697,18794,1,80,Y
STAFF-394,39,35 - 44,Female,Single,Finance,Finance Manager,1,Bachelor's Degree,Other,17,4,0,0,1,8593,13,2,4,4,2,3,1,2,No,Travel_Rarely,14,1,2,Yes,Ex-Employees,0,99,961,14356,1,80,Y
STAFF-395,47,45 - 54,Female,Divorced,R&D,Manufacturing Director,1,Associates Degree,Life Sciences,21,2,0,0,0,6530,11,2,1,4,3,3,2,3,No,Travel_Frequently,5,2,2,Yes,Ex-Employees,0,64,810,17219,1,80,Y
STAFF-396,32,25 - 34,Male,Single,IT,IT Support,2,High School,Marketing,1,1,1,1,1,8656,4,0,1,4,4,4,1,3,Yes,Non-Travel,9,4,3,Yes,Ex-Employees,0,69,874,12294,1,80,Y
STAFF-397,46,45 - 54,Female,Single,Marketing,Content Creator,2,Master's Degree,Medical,23,7,0,0,0,5791,14,0,4,4,2,4,2,3,No,Travel_Rarely,17,4,7,No,Current Employees,1,85,803,17625,1,80,Y
STAFF-398,18,Under 25,Male,Single,R&D,Healthcare Representative,1,High School,Human Resources,0,0,0,0,0,9006,14,0,4,4,3,1,1,1,No,Travel_Frequently,1,5,1,Yes,Ex-Employees,0,40,706,15989,1,80,Y
STAFF-399,25,25 - 34,Female,Divorced,R&D,Research Scientist,1,Associates Degree,Marketing,0,0,0,0,0,5659,20,0,4,2,1,1,1,3,No,Travel_Rarely,21,6,1,Yes,Ex-Employees,0,65,893,8693,1,80,Y
STAFF-400,47,45 - 54,Male,Married,IT,Data Analyst,2,Bachelor's Degree,Other,24,0,0,0,0,10267,8,1,2,2,1,1,1,3,No,Non-Travel,11,3,2,Yes,Ex-Employees,0,71,625,11690,1,80,Y
STAFF-401,25,25 - 34,Female,Single,IT,Data Analyst,1,Bachelor's Degree,Life Sciences,11,2,2,1,0,4283,12,0,3,4,1,4,4,3,Yes,Non-Travel,1,0,5,Yes,Ex-Employees,0,73,917,15100,1,80,Y
STAFF-402,43,35 - 44,Female,Single,IT,IT Support,1,Bachelor's Degree,Technical Degree,21,0,0,0,0,5860,11,1,4,3,2,2,1,3,Yes,Travel_Rarely,15,5,4,Yes,Ex-Employees,0,81,1170,12938,1,80,Y
STAFF-403,20,Under 25,Male,Divorced,R&D,Research Scientist,3,Master's Degree,Technical Degree,3,2,1,1,0,9466,10,0,2,4,1,4,2,3,No,Travel_Rarely,1,2,1,Yes,Ex-Employees,0,51,450,16887,1,80,Y
STAFF-404,49,45 - 54,Male,Married,IT,Data Analyst,2,Associates Degree,Medical,31,0,0,0,0,8649,16,0,2,2,2,2,3,4,No,Travel_Frequently,10,4,4,No,Current Employees,1,30,927,13376,1,80,Y
STAFF-405,35,35 - 44,Male,Divorced,Marketing,Marketing Specialist,1,Bachelor's Degree,Human Resources,15,9,4,2,1,5994,19,1,1,1,1,1,1,4,No,Travel_Rarely,7,2,1,Yes,Ex-Employees,0,87,349,13384,1,80,Y
STAFF-406,48,45 - 54,Male,Single,R&D,Laboratory Technician,3,Bachelor's Degree,Marketing,25,0,0,0,0,9785,9,2,2,2,2,3,4,3,No,Non-Travel,1,0,1,Yes,Ex-Employees,0,71,1423,13987,1,80,Y
STAFF-407,26,25 - 34,Female,Single,HR,Recruiter,1,High School,Medical,2,1,1,1,1,7132,12,1,3,2,2,1,4,2,No,Non-Travel,1,4,2,No,Current Employees,1,53,1353,21589,1,80,Y
STAFF-408,29,25 - 34,Male,Married,Sales,Sales Representative,2,Master's Degree,Other,10,7,0,0,0,7345,12,0,3,1,2,4,3,1,Yes,Non-Travel,9,5,2,No,Current Employees,1,55,1054,16090,1,80,Y
STAFF-409,21,Under 25,Male,Married,Finance,Finance Manager,1,Bachelor's Degree,Human Resources,8,1,0,0,1,6643,20,1,2,2,1,1,4,2,No,Travel_Frequently,8,6,1,Yes,Ex-Employees,0,72,750,20530,1,80,Y
STAFF-410,21,Under 25,Female,Married,HR,HR Manager,2,Master's Degree,Other,0,0,0,0,0,8201,18,0,4,1,1,3,2,4,Yes,Non-Travel,19,5,2,Yes,Ex-Employees,0,73,1272,5708,1,80,Y
STAFF-411,29,25 - 34,Female,Single,R&D,Laboratory Technician,1,Bachelor's Degree,Marketing,11,4,0,0,2,9215,18,0,1,4,3,1,3,3,Yes,Non-Travel,8,5,1,No,Current Employees,1,76,825,16833,1,80,Y
STAFF-412,48,45 - 54,Male,Divorced,R&D,Manufacturing Director,2,High School,Medical,25,1,1,1,0,7336,13,0,3,1,3,3,4,1,No,Non-Travel,6,5,3,No,Current Employees,1,85,1394,19768,1,80,Y
STAFF-413,56,Over 55,Male,Divorced,R&D,Laboratory Technician,1,PhD,Technical Degree,31,5,1,0,0,8213,21,1,1,2,4,2,2,4,No,Travel_Rarely,2,3,5,No,Current Employees,1,63,557,17925,1,80,Y
STAFF-414,41,35 - 44,Male,Married,HR,HR Specialist,1,High School,Marketing,23,0,0,0,0,4952,16,0,2,2,2,4,4,4,No,Non-Travel,16,2,2,No,Current Employees,1,45,955,25781,1,80,Y
STAFF-415,31,25 - 34,Female,Single,Sales,Sales Executive,3,Bachelor's Degree,Human Resources,12,3,1,1,0,10001,9,2,2,3,3,2,2,4,No,Travel_Rarely,4,5,2,Yes,Ex-Employees,0,88,329,13094,1,80,Y
STAFF-416,39,35 - 44,Male,Single,Finance,Finance Manager,1,Associates Degree,Human Resources,18,4,1,1,1,8904,13,2,1,1,3,1,1,2,No,Non-Travel,18,5,3,No,Current Employees,1,85,448,20135,1,80,Y
STAFF-417,28,25 - 34,Male,Divorced,IT,Software Engineer,3,Bachelor's Degree,Technical Degree,0,0,0,0,0,9705,25,0,2,2,3,2,2,2,Yes,Non-Travel,1,1,2,Yes,Ex-Employees,0,40,602,12360,1,80,Y
STAFF-418,25,25 - 34,Male,Single,R&D,Research Scientist,1,Master's Degree,Other,3,2,1,1,0,7420,11,0,1,4,1,3,2,1,No,Non-Travel,7,6,2,No,Current Employees,1,77,247,21524,1,80,Y
STAFF-419,36,35 - 44,Male,Single,Finance,Financial Analyst,1,Master's Degree,Marketing,21,0,0,0,0,5612,16,0,2,2,2,1,4,3,No,Travel_Rarely,3,0,2,No,Current Employees,1,31,602,18799,1,80,Y
STAFF-420,42,35 - 44,Female,Single,R&D,Laboratory Technician,1,Associates Degree,Other,10,10,1,0,4,5753,16,0,4,1,4,3,3,4,No,Non-Travel,7,1,3,No,Current Employees,1,38,477,9765,1,80,Y
STAFF-421,41,35 - 44,Male,Single,HR,Recruiter,2,Bachelor's Degree,Medical,18,10,0,0,0,8513,16,1,2,2,1,1,1,4,No,Travel_Frequently,17,6,1,No,Current Employees,1,84,673,15968,1,80,Y
STAFF-422,29,25 - 34,Male,Single,HR,HR Manager,2,Bachelor's Degree,Marketing,11,0,0,0,0,8212,17,0,4,2,2,3,1,3,No,Travel_Rarely,1,6,1,Yes,Ex-Employees,0,40,873,17055,1,80,Y
STAFF-423,42,35 - 44,Male,Single,IT,IT Support,1,Bachelor's Degree,Medical,23,2,1,0,0,7849,14,0,4,1,2,3,3,4,No,Travel_Rarely,16,4,2,No,Current Employees,1,33,619,19113,1,80,Y
STAFF-424,38,35 - 44,Male,Single,Finance,Accountant,2,Associates Degree,Technical Degree,23,1,1,0,0,10400,17,0,1,4,1,3,2,1,Yes,Travel_Rarely,34,3,1,Yes,Ex-Employees,0,52,683,8947,1,80,Y
STAFF-425,35,35 - 44,Female,Divorced,R&D,Laboratory Technician,2,Master's Degree,Human Resources,19,0,0,0,0,11095,16,0,3,4,4,2,3,4,Yes,Travel_Rarely,16,2,1,No,Current Employees,1,108,1116,20123,1,80,Y
STAFF-426,46,45 - 54,Male,Married,IT,IT Support,1,Bachelor's Degree,Human Resources,30,1,0,0,0,7402,16,0,4,2,4,4,3,2,No,Non-Travel,3,0,1,No,Current Employees,1,60,950,20658,1,80,Y
STAFF-427,39,35 - 44,Female,Divorced,Finance,Finance Manager,1,Master's Degree,Other,19,1,1,1,1,6394,19,1,2,1,1,3,1,3,No,Travel_Rarely,4,1,2,No,Current Employees,1,73,732,9385,1,80,Y
STAFF-428,27,25 - 34,Female,Divorced,R&D,Healthcare Representative,2,Bachelor's Degree,Other,4,2,1,0,0,9480,18,0,2,2,4,4,3,3,Yes,Travel_Rarely,12,4,2,No,Current Employees,1,84,374,21953,1,80,Y
STAFF-429,38,35 - 44,Male,Single,HR,HR Specialist,3,Bachelor's Degree,Marketing,12,1,1,1,1,11815,13,0,2,2,2,1,4,3,No,Travel_Rarely,2,4,1,Yes,Ex-Employees,0,68,879,12422,1,80,Y
STAFF-430,40,35 - 44,Male,Divorced,IT,Data Analyst,2,Bachelor's Degree,Technical Degree,21,3,0,0,0,8148,24,2,3,4,4,1,3,3,Yes,Travel_Rarely,5,1,4,No,Current Employees,1,82,1108,15073,1,80,Y
STAFF-431,38,35 - 44,Male,Divorced,R&D,Healthcare Representative,2,Master's Degree,Other,21,3,2,1,2,12706,12,1,1,2,3,4,2,2,No,Travel_Rarely,2,4,1,Yes,Ex-Employees,0,50,652,12152,1,80,Y
STAFF-432,37,35 - 44,Male,Divorced,IT,Data Analyst,1,Associates Degree,Life Sciences,9,1,1,0,0,7026,13,0,4,2,3,3,3,3,No,Travel_Rarely,8,3,2,Yes,Ex-Employees,0,53,833,20985,1,80,Y
STAFF-433,27,25 - 34,Male,Married,Marketing,Marketing Specialist,1,Master's Degree,Medical,2,1,1,0,0,9082,18,0,3,4,4,3,4,3,Yes,Travel_Frequently,6,3,2,No,Current Employees,1,82,554,11495,1,80,Y
STAFF-434,39,35 - 44,Male,Single,Marketing,Content Creator,1,Bachelor's Degree,Other,19,1,0,0,0,5451,15,1,1,3,3,1,4,3,No,Travel_Rarely,1,0,3,Yes,Ex-Employees,0,43,598,20680,1,80,Y
STAFF-435,18,Under 25,Male,Single,Sales,Sales Executive,1,Master's Degree,Marketing,0,0,0,0,0,6421,28,0,2,1,1,2,1,2,Yes,Non-Travel,11,0,2,Yes,Ex-Employees,0,89,1163,15873,1,80,Y
STAFF-436,55,Over 55,Female,Single,R&D,Research Scientist,3,Master's Degree,Other,28,2,1,0,2,9686,12,0,3,3,1,3,1,2,No,Travel_Frequently,3,1,1,Yes,Ex-Employees,0,56,625,22028,1,80,Y
STAFF-437,37,35 - 44,Female,Married,HR,Recruiter,2,Associates Degree,Marketing,14,1,0,0,1,9844,14,0,1,1,3,3,2,2,No,Travel_Rarely,6,4,1,No,Current Employees,1,97,746,10833,1,80,Y
STAFF-438,37,35 - 44,Female,Divorced,Finance,Financial Analyst,2,Associates Degree,Human Resources,15,0,0,0,0,7062,17,1,2,4,4,1,4,3,No,Non-Travel,1,3,1,Yes,Ex-Employees,0,77,870,8716,1,80,Y
STAFF-439,30,25 - 34,Male,Single,Finance,Accountant,3,Master's Degree,Other,9,1,0,0,0,8687,15,3,3,3,4,1,3,4,No,Non-Travel,1,2,2,Yes,Ex-Employees,0,95,601,21414,1,80,Y
STAFF-440,36,35 - 44,Female,Divorced,HR,HR Specialist,1,PhD,Marketing,14,0,0,0,0,4785,19,0,4,4,4,2,2,2,No,Travel_Rarely,26,6,2,Yes,Ex-Employees,0,48,720,20386,1,80,Y
STAFF-441,34,25 - 34,Male,Divorced,Finance,Accountant,1,Bachelor's Degree,Human Resources,6,5,0,0,0,7577,21,0,4,2,4,1,2,3,No,Non-Travel,4,1,4,No,Current Employees,1,74,868,18166,1,80,Y
STAFF-442,20,Under 25,Male,Single,Marketing,Content Creator,1,Bachelor's Degree,Technical Degree,1,1,1,1,0,9041,7,0,4,2,4,1,1,3,No,Travel_Rarely,12,3,1,Yes,Ex-Employees,0,88,744,7471,1,80,Y
STAFF-443,43,35 - 44,Male,Married,HR,Recruiter,2,Bachelor's Degree,Technical Degree,19,18,0,0,3,11432,12,0,1,3,3,1,2,3,No,Travel_Frequently,13,4,2,No,Current Employees,1,88,744,13922,1,80,Y
STAFF-444,28,25 - 34,Female,Married,Sales,Sales Executive,1,Associates Degree,Other,4,4,1,1,0,11023,11,1,4,2,3,4,4,4,No,Non-Travel,2,2,1,No,Current Employees,1,67,917,15686,1,80,Y
STAFF-445,46,45 - 54,Female,Single,Finance,Financial Analyst,2,Bachelor's Degree,Life Sciences,29,9,2,1,0,8180,12,0,1,3,2,1,1,1,No,Travel_Rarely,1,0,2,No,Current Employees,1,102,510,16193,1,80,Y
STAFF-446,22,Under 25,Male,Single,Sales,Sales Representative,2,Bachelor's Degree,Life Sciences,0,0,0,0,0,6336,23,2,2,3,1,4,2,3,No,Travel_Frequently,2,5,5,Yes,Ex-Employees,0,67,949,17580,1,80,Y
STAFF-447,45,45 - 54,Female,Married,Marketing,Content Creator,1,Master's Degree,Other,19,1,1,0,0,5110,12,1,2,4,1,3,2,2,Yes,Travel_Frequently,48,4,2,Yes,Ex-Employees,0,51,724,23784,1,80,Y
STAFF-448,33,25 - 34,Male,Single,Finance,Financial Analyst,1,Bachelor's Degree,Technical Degree,13,3,3,0,2,3598,15,2,4,2,3,2,4,3,No,Travel_Frequently,15,5,1,Yes,Ex-Employees,0,60,329,5000,1,80,Y
STAFF-449,31,25 - 34,Male,Single,Marketing,Content Creator,1,Master's Degree,Medical,10,8,1,1,2,5134,11,2,2,3,2,2,2,3,Yes,Travel_Frequently,1,6,1,Yes,Ex-Employees,0,71,1373,5000,1,80,Y
STAFF-450,23,Under 25,Female,Single,R&D,Laboratory Technician,1,High School,Technical Degree,0,0,0,0,0,8577,16,1,1,1,1,1,4,4,Yes,Travel_Rarely,4,5,1,No,Current Employees,1,65,853,9646,1,80,Y
STAFF-451,29,25 - 34,Female,Single,IT,Software Engineer,1,High School,Medical,5,2,0,0,0,7783,12,2,4,4,2,2,3,4,No,Non-Travel,1,6,1,No,Current Employees,1,75,300,10868,1,80,Y
STAFF-452,24,Under 25,Female,Single,Finance,Accountant,2,Bachelor's Degree,Technical Degree,0,0,0,0,0,11166,11,0,1,1,1,3,3,3,Yes,Non-Travel,4,6,8,Yes,Ex-Employees,0,45,595,12774,1,80,Y
STAFF-453,32,25 - 34,Male,Married,Marketing,Marketing Specialist,3,Associates Degree,Other,5,3,2,1,3,10733,15,0,4,4,1,3,1,3,No,Travel_Rarely,3,3,2,Yes,Ex-Employees,0,77,974,22918,1,80,Y
STAFF-454,39,35 - 44,Male,Single,Sales,Sales Representative,2,Bachelor's Degree,Other,14,3,3,0,3,11862,19,0,2,2,1,1,2,2,Yes,Non-Travel,9,4,2,No,Current Employees,1,62,530,14129,1,80,Y
STAFF-455,24,Under 25,Male,Single,Sales,Sales Executive,1,Associates Degree,Other,6,6,0,0,1,8529,17,0,4,3,1,3,4,4,No,Non-Travel,1,4,1,No,Current Employees,1,86,448,5904,1,80,Y
STAFF-456,53,45 - 54,Female,Married,HR,HR Specialist,1,Bachelor's Degree,Other,29,2,2,0,2,6418,18,0,3,2,1,1,1,3,No,Non-Travel,3,4,3,No,Current Employees,1,49,1463,19528,1,80,Y
STAFF-457,36,35 - 44,Male,Divorced,Sales,Sales Representative,2,Bachelor's Degree,Medical,20,0,0,0,0,10331,7,0,4,2,3,4,4,3,Yes,Non-Travel,3,0,2,No,Current Employees,1,55,134,10789,1,80,Y
STAFF-458,22,Under 25,Female,Divorced,R&D,Manufacturing Director,3,Master's Degree,Other,0,0,0,0,0,11247,13,0,3,3,1,2,2,3,No,Non-Travel,2,2,1,No,Current Employees,1,50,705,14186,1,80,Y
STAFF-459,38,35 - 44,Female,Divorced,IT,Software Engineer,2,Associates Degree,Marketing,18,1,1,1,1,9499,15,0,2,2,4,4,3,4,No,Non-Travel,6,4,1,No,Current Employees,1,72,1347,5745,1,80,Y
STAFF-460,37,35 - 44,Female,Married,HR,Recruiter,1,Associates Degree,Human Resources,12,4,2,1,1,6502,7,1,2,3,1,3,2,1,Yes,Non-Travel,5,0,1,No,Current Employees,1,69,1116,13863,1,80,Y
STAFF-461,31,25 - 34,Male,Married,Marketing,Content Creator,1,Bachelor's Degree,Human Resources,7,5,0,0,1,7979,14,1,2,4,1,3,4,2,No,Non-Travel,8,3,1,No,Current Employees,1,73,695,12747,1,80,Y
STAFF-462,30,25 - 34,Male,Single,Marketing,Marketing Manager,4,Associates Degree,Life Sciences,0,0,0,0,0,14654,15,1,2,4,3,4,2,3,No,Non-Travel,19,3,3,No,Current Employees,1,69,973,16696,1,80,Y
STAFF-463,41,35 - 44,Male,Divorced,R&D,Manufacturing Director,2,Associates Degree,Technical Degree,17,0,0,0,0,9432,9,2,3,4,4,4,4,3,No,Travel_Rarely,10,3,1,No,Current Employees,1,115,1334,11531,1,80,Y
STAFF-464,45,45 - 54,Male,Married,HR,HR Specialist,2,Bachelor's Degree,Life Sciences,23,0,0,0,0,7848,11,0,2,4,2,3,1,3,No,Travel_Rarely,4,3,1,Yes,Ex-Employees,0,77,564,15990,1,80,Y
STAFF-465,44,35 - 44,Female,Divorced,Marketing,Marketing Specialist,1,Associates Degree,Marketing,25,1,1,1,1,4946,11,0,3,1,1,3,3,3,No,Travel_Rarely,16,5,5,Yes,Ex-Employees,0,83,930,13400,1,80,Y
STAFF-466,51,45 - 54,Female,Single,Sales,Sales Executive,4,Associates Degree,Marketing,29,1,1,1,1,14317,21,2,2,1,2,4,2,3,No,Non-Travel,1,0,1,Yes,Ex-Employees,0,96,1074,20287,1,80,Y
STAFF-467,34,25 - 34,Male,Single,Sales,Sales Representative,1,Associates Degree,Medical,14,5,0,0,0,7082,17,0,2,4,1,2,3,4,No,Non-Travel,22,2,7,No,Current Employees,1,87,787,5000,1,80,Y
STAFF-468,27,25 - 34,Male,Married,Marketing,Marketing Specialist,2,Master's Degree,Other,1,1,0,0,0,10499,19,0,3,2,3,4,4,4,Yes,Travel_Rarely,2,5,1,Yes,Ex-Employees,0,93,885,12194,1,80,Y
STAFF-469,32,25 - 34,Female,Divorced,Sales,Sales Executive,2,High School,Marketing,5,0,0,0,0,8176,12,0,4,1,1,2,1,2,No,Travel_Rarely,10,3,1,Yes,Ex-Employees,0,73,852,8181,1,80,Y
